,DATA_YEAR_x,AGENCY_ID,INCIDENT_ID,NIBRS_MONTH_ID,CARGO_THEFT_FLAG,SUBMISSION_DATE,INCIDENT_DATE,REPORT_DATE_FLAG,INCIDENT_HOUR,CLEARED_EXCEPT_ID,CLEARED_EXCEPT_DATE,INCIDENT_STATUS,DATA_HOME,ORIG_FORMAT,DID,DATA_YEAR_y,ARRESTEE_ID,ARRESTEE_SEQ_NUM,ARREST_DATE,ARREST_TYPE_ID,MULTIPLE_INDICATOR,OFFENSE_TYPE_ID,AGE_ID,AGE_NUM,SEX_CODE,RACE_ID,ETHNICITY_ID,RESIDENT_CODE,UNDER_18_DISPOSITION_CODE,CLEARANCE_IND,AGE_RANGE_LOW_NUM,AGE_RANGE_HIGH_NUM,OFFENSE_CODE,OFFENSE_NAME,CRIME_AGAINST,CT_FLAG,HC_FLAG,HC_CODE,OFFENSE_CATEGORY_NAME,OFFENSE_GROUP,VIOLENT_CRIME
611,2019,5659,113384274,8166013,,15-AUG-19,10-APR-19,,12,6,,0,C,F,50395923,2019,34056000,1,11-APR-19,2,N,51,5,67,F,1,2,R,,,67,0,13B,Simple Assault,Person,N,Y,9.0,Assault Offenses,A,Y
612,2019,5659,113384280,8166013,,15-AUG-19,11-APR-19,,13,6,,0,C,F,50395929,2019,34056002,1,11-APR-19,1,N,51,5,16,F,2,2,R,R,,16,0,13B,Simple Assault,Person,N,Y,9.0,Assault Offenses,A,Y
613,2019,5659,113384284,8166013,,15-AUG-19,11-APR-19,,17,6,,0,C,F,50395934,2019,34056004,1,11-APR-19,2,N,51,5,19,F,1,2,R,,,19,0,13B,Simple Assault,Person,N,Y,9.0,Assault Offenses,A,Y
614,2019,5659,113384298,8166013,,15-AUG-19,12-APR-19,,7,6,,0,C,F,50395952,2019,34056011,1,12-APR-19,1,N,51,5,50,M,1,3,R,,,50,0,13B,Simple Assault,Person,N,Y,9.0,Assault Offenses,A,Y
615,2019,5659,113384318,8166013,,15-AUG-19,13-APR-19,,1,6,,0,C,F,50395977,2019,34056016,1,13-APR-19,1,N,51,5,40,M,1,2,R,,,40,0,13B,Simple Assault,Person,N,Y,9.0,Assault Offenses,A,Y
616,2019,5659,113384330,8166013,,15-AUG-19,12-APR-19,,13,6,,0,C,F,50395991,2019,34056021,1,12-APR-19,1,N,51,5,23,M,2,2,R,,,23,0,13B,Simple Assault,Person,N,Y,9.0,Assault Offenses,A,Y
617,2019,5659,113384339,8166013,,15-AUG-19,13-APR-19,,15,6,,0,C,F,50396001,2019,34056022,1,13-APR-19,1,N,51,5,61,M,2,2,N,,,61,0,13B,Simple Assault,Person,N,Y,9.0,Assault Offenses,A,Y
618,2019,5659,113384340,8166013,,15-AUG-19,13-APR-19,,13,6,,0,C,F,50396002,2019,34056023,1,13-APR-19,1,N,51,5,29,M,1,3,N,,,29,0,13B,Simple Assault,Person,N,Y,9.0,Assault Offenses,A,Y
619,2019,5659,113397106,8166013,,15-AUG-19,01-APR-19,,13,6,,0,C,F,50389647,2019,34059528,2,07-MAY-19,1,N,51,5,15,M,2,2,R,R,,15,0,13B,Simple Assault,Person,N,Y,9.0,Assault Offenses,A,Y
620,2019,5659,113397106,8166013,,15-AUG-19,01-APR-19,,13,6,,0,C,F,50389647,2019,34059527,1,07-MAY-19,1,N,51,5,14,F,2,2,R,R,,14,0,13B,Simple Assault,Person,N,Y,9.0,Assault Offenses,A,Y
621,2019,5659,113401228,8166013,,15-AUG-19,27-APR-19,,22,6,,0,C,F,50389785,2019,34056558,1,04-JUN-19,3,N,51,5,55,M,2,2,R,,,55,0,13B,Simple Assault,Person,N,Y,9.0,Assault Offenses,A,Y
622,2019,5659,113401238,8181337,,15-AUG-19,01-JUN-19,,4,6,,0,C,F,50403494,2019,34056568,1,01-JUN-19,1,N,51,5,24,F,2,2,R,,,24,0,13B,Simple Assault,Person,N,Y,9.0,Assault Offenses,A,Y
623,2019,5659,113401239,8173675,,15-AUG-19,19-MAY-19,,5,6,,0,C,F,50403495,2019,34056569,1,07-JUN-19,3,N,51,5,35,M,1,2,N,,,35,0,13B,Simple Assault,Person,N,Y,9.0,Assault Offenses,A,Y
624,2019,5659,113401242,8173675,,15-AUG-19,18-MAY-19,,20,6,,0,C,F,50403499,2019,34052607,1,20-JUN-19,1,N,51,5,14,M,2,2,R,H,,14,0,13B,Simple Assault,Person,N,Y,9.0,Assault Offenses,A,Y
625,2019,5659,113401248,8181337,,15-AUG-19,01-JUN-19,,21,6,,0,C,F,50403511,2019,34056576,1,01-JUN-19,1,N,51,5,21,F,1,1,R,,,21,0,13B,Simple Assault,Person,N,Y,9.0,Assault Offenses,A,Y
626,2019,5659,113401249,8181337,,15-AUG-19,01-JUN-19,,21,6,,0,C,F,50403512,2019,34056577,1,01-JUN-19,1,N,51,5,21,F,1,1,R,,,21,0,13B,Simple Assault,Person,N,Y,9.0,Assault Offenses,A,Y
627,2019,5659,113401251,8181337,,15-AUG-19,01-JUN-19,,21,6,,0,C,F,50403513,2019,34056578,1,01-JUN-19,1,N,51,5,20,F,2,2,R,,,20,0,13B,Simple Assault,Person,N,Y,9.0,Assault Offenses,A,Y
628,2019,5659,113401254,8173675,,15-AUG-19,22-MAY-19,,13,6,,0,C,F,50389810,2019,34056579,1,12-JUN-19,3,N,51,5,25,M,2,2,R,,,25,0,13B,Simple Assault,Person,N,Y,9.0,Assault Offenses,A,Y
629,2019,5659,113401261,8173675,,15-AUG-19,30-MAY-19,,5,6,,0,C,F,50403525,2019,34056582,1,23-JUN-19,3,N,51,5,37,M,2,2,R,,,37,0,13B,Simple Assault,Person,N,Y,9.0,Assault Offenses,A,Y
630,2019,5659,113401265,8173675,,15-AUG-19,31-MAY-19,,22,6,,0,C,F,50403529,2019,34056585,1,20-JUN-19,3,N,51,5,28,M,2,2,R,,,28,0,13B,Simple Assault,Person,N,Y,9.0,Assault Offenses,A,Y
631,2019,5659,113384356,8166013,,15-AUG-19,14-APR-19,,5,6,,0,C,F,50396024,2019,34056031,1,14-APR-19,1,N,51,5,28,F,2,2,R,,,28,0,13B,Simple Assault,Person,N,Y,9.0,Assault Offenses,A,Y
632,2019,5659,113384357,8166013,,15-AUG-19,14-APR-19,,7,6,,0,C,F,50396025,2019,34056032,1,14-APR-19,1,N,51,5,25,M,2,2,R,,,25,0,13B,Simple Assault,Person,N,Y,9.0,Assault Offenses,A,Y
633,2019,5659,113384362,8166013,,15-AUG-19,14-APR-19,,13,6,,0,C,F,50396031,2019,34056033,1,14-APR-19,1,N,51,5,31,M,1,2,R,,,31,0,13B,Simple Assault,Person,N,Y,9.0,Assault Offenses,A,Y
